date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	4
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Ciliophora	Trichostomatia	fuzzy	4
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Archaeperidinium	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	845
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	4584
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	684
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	2013
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	47
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	4
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	18
14_6_25	14	6	25	CM	18s	Eukaryota	Alveolata	NO MATCH	Alveolata	fuzzy	7
14_6_25	14	6	25	CM	18s	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	3
14_6_25	14	6	25	CM	18s	Eukaryota	Opisthokonta	Fungi	Amphisphaeriaceae	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	5
14_6_25	14	6	25	CM	18s	Eukaryota	Opisthokonta	Metazoa	Ctenophora	fuzzy	3
14_6_25	14	6	25	CM	18s	Eukaryota	Opisthokonta	Metazoa	Nanopsocetae	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Opisthokonta	Metazoa	Veneroida	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	7
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Lithodesmiaceae	fuzzy	2
14_6_25	14	6	25	CM	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	2
