gene	sample	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Campanulariidae	fuzzy	10
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	fuzzy	11
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Leptothecata	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Macoma	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Peloderinae	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Pteronyssidae	fuzzy	5
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Spionida	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Opisthokonta	Metazoa	Typhlocoela	fuzzy	404
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadida	fuzzy	13
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	Cercozoa	Cercomonadidae	fuzzy	10
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	Cercozoa	Protaspis	fuzzy	8
BB062415BDp18S	BB062415BDp18S	Eukaryota	Rhizaria	Cercozoa	Silicofilosea	fuzzy	39
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Bacillariophyta	fuzzy	16
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphia	fuzzy	4
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiaceae	fuzzy	37
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	175
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	fuzzy	14
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Ditylum	fuzzy	11
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	7
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Chrysophyceae	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	Labyrinthulomycetes	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	9
BB062415BDp18S	BB062415BDp18S	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	4
BB062415BDp18S	BB062415BDp18S	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	20
BB062415BDp18S	BB062415BDp18S	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	2
BB062415BDp18S	BB062415BDp18S	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	13
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Armophorida	fuzzy	3
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Choreotrichia	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Prorodontida	fuzzy	6
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	5
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	32
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Tintinnopsis	fuzzy	4
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Ciliophora	Trichostomatia	fuzzy	4
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Archaeperidinium	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Dinophyceae	fuzzy	845
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	4584
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	684
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	2013
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Protoperidinium	fuzzy	47
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	Syndiniales	fuzzy	4
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	Dinophyceae	environmental samples	fuzzy	18
BB062514BCM18S	BB062514BCM18S	Eukaryota	Alveolata	NO MATCH	Alveolata	fuzzy	7
BB062514BCM18S	BB062514BCM18S	Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	fuzzy	3
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	Fungi	Amphisphaeriaceae	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	Metazoa	Calanoida	fuzzy	5
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	Metazoa	Ctenophora	fuzzy	3
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	Metazoa	Nanopsocetae	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Opisthokonta	Metazoa	Veneroida	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Biddulphiophycidae	fuzzy	7
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Lithodesmiaceae	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Chrysophyceae	Spumella	fuzzy	4
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Spumella	fuzzy	2
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	4
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	7
BB062514BCM18S	BB062514BCM18S	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	39
BB062514BCM18S	BB062514BCM18S	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	18
